# Latitude, Longitude, 53.0355, -163.5385
# DateTime, 2024-06-28 15:37:10
# OriginalFile, ../CTD_examples/SKQ202409S_009avg.cnv
# Sound Speed Model, Mackenzie
Depth_m,SoundSpeed_m_per_s
391.133,1471.292535186636
392.122,1471.3059463002767
393.112,1471.3188243272075
394.101,1471.3187239584522
395.09,1471.330716289446
396.08,1471.3380473091008
397.068,1471.3413169369455
398.058,1471.3550352930556
399.047,1471.3657682993598
400.037,1471.3702294131792
401.026,1471.3708636705314
402.015,1471.3906956258702
403.004,1471.4069483537678
403.993,1471.3981218026813
404.983,1471.4010900216622
405.972,1471.4152133625792
406.961,1471.427656634202
407.95,1471.4309277254083
408.939,1471.440080158526
409.929,1471.4512197420067
410.918,1471.4639536827929
411.907,1471.4853112562503
412.896,1471.492623662538
413.885,1471.5046180426177
414.874,1471.515452019609
415.863,1471.527026526975
416.852,1471.5309068702231
417.842,1471.540946942177
418.831,1471.551260849444
419.82,1471.560994377185
420.809,1471.5695970525926
421.798,1471.5827534668438
422.787,1471.5954596774955
423.776,1471.606394314594
424.766,1471.6175358482142
425.755,1471.6240368562771
426.744,1471.6369039927993
427.733,1471.6526142911462
428.722,1471.6684549832107
429.711,1471.6749261813036
430.7,1471.6821078550606
431.689,1471.6881579384712
432.678,1471.6983127561402
433.667,1471.7269203884885
434.656,1471.7217265585741
435.645,1471.7302993591127
436.635,1471.7453178493136
437.624,1471.7553431376484
438.613,1471.7612624917435
439.602,1471.7638468503922
440.591,1471.772640270812
441.58,1471.7866419020017
442.569,1471.7938526008431
443.558,1471.8003518065118
444.547,1471.802031850613
445.536,1471.811085043282
446.525,1471.821691160801
447.514,1471.8332994862487
448.503,1471.8446173249404
449.492,1471.8583299853415
450.481,1471.8719128052646
451.47,1471.8850750927577
452.459,1471.8980770610385
453.448,1471.9122116273659
454.437,1471.9242423316562
455.426,1471.925920598851
456.415,1471.9389233131892
457.403,1471.946438198882
458.392,1471.9547806989212
459.381,1471.962832296955
460.37,1471.966092399668
461.359,1471.965241133373
462.348,1471.9773029068908
463.337,1471.9917303682068
464.326,1471.9975151171645
465.315,1471.995497570172
466.304,1472.0018015617557
467.293,1472.0166509413405
468.282,1472.0315313114265
469.271,1472.0469326047062
470.259,1472.0588183873756
471.248,1472.0695567774544
472.237,1472.076083382836
473.226,1472.0746750239957
474.215,1472.062188033341
475.204,1472.076556379919
476.193,1472.0744925233846
477.182,1472.0720430965544
478.17,1472.0889614073023
479.159,1472.1040739447662
480.148,1472.108428028429
481.137,1472.110153304575
482.126,1472.1220866390274
483.115,1472.1333073666801
484.103,1472.1152384885322
485.092,1472.1205250772719
486.081,1472.1334007844503
487.07,1472.1270475112633
488.059,1472.1257522012509
489.047,1472.1401681933298
490.036,1472.1524922217202
491.025,1472.1587193299604
492.014,1472.1707832150078
493.003,1472.1835295542544
493.992,1472.1820390018338
494.98,1472.1961647966418
495.969,1472.209041791074
496.958,1472.222179486938
497.947,1472.228505008856
498.935,1472.2318602999976
499.924,1472.2428887317444
500.913,1472.2566416618893
501.901,1472.271060829304
502.89,1472.2878357337684
503.879,1472.2863726161406
504.868,1472.2981154667668
505.856,1472.3093210577456
506.845,1472.3168439698343
507.834,1472.3211567947171
508.823,1472.3314722160296
509.811,1472.3306661022636
510.8,1472.345400428243
